,action,cash,volumn,cost,total_nav
83,2.0,0.9245337796380412,0.0,0.0,0.9245337796380412
84,2.0,0.9245337796380412,0.0,0.0,0.9245337796380412
85,1.0,0.9245337796380412,0.0,0.0,0.9245337796380412
86,2.0,0.9245337796380412,0.0,0.0,0.9245337796380412
87,2.0,0.9245337796380412,0.0,0.0,0.9245337796380412
88,0.0,0.0,3.8606843784692186,0.0009245337796380411,0.9236092458584031
89,0.0,0.0,3.8606843784692186,0.0,0.9225814034894149
90,1.0,0.0,3.8606843784692186,0.0,0.9122059188138583
91,2.0,0.9250916013947915,0.0,0.0009122059188138582,0.9241793954759776
92,0.0,0.0,3.8971081461156203,0.0009241793954759776,0.9241674219993156
93,1.0,0.0,3.8971081461156203,0.0,0.9391687150565298
94,0.0,0.0,3.8971081461156203,0.0,0.9152939302862219
